"","twitter_id","screen_name","favorites_count","followers_count","friends_count","listed_count","statuses_count","creation_date","creation_time","location","link_color","sidebar_border_color","sidebar_fill_color","text_color","party"
"94",37438947,"MechthildRawert",1320,2953,1078,197,14029,"2009-05-03","15:46:36","Berlin","1DA1F2","C0DEED","DDEEF6","333333","S"
"95",37642893,"ChristianHirte",4231,4282,238,262,9156,"2009-05-04","11:44:48","Tiefenort/ Berlin","0499CF","FFFFFF","F7AF1E","333333","C"
"96",38001527,"rbrinkhaus",57,12555,463,303,1063,"2009-05-05","19:45:20","Gütersloh","1DA1F2","C0DEED","DDEEF6","333333","C"
"97",38168399,"paul_schaefer",3,1224,160,125,409,"2009-05-06","12:38:35","Köln","0084B4","BDDCAD","DDFFCC","333333","L"
"98",38228691,"starkwatzinger",6290,1742,399,39,914,"2009-05-06","17:25:30","Bad Soden","1DA1F2","C0DEED","DDEEF6","333333","F"
"99",38272947,"HiltrudLotze",0,374,35,54,121,"2009-05-06","20:49:41","Lüneburg","1DA1F2","C0DEED","DDEEF6","333333","S"
"100",38467606,"juergenhardt",364,4027,567,275,3616,"2009-05-07","16:53:05","Remscheid Solingen Wuppertal","5C9FE6","FFFFFF","DDEEF6","333333","C"
"101",38645930,"edrossmann",72,2454,132,196,626,"2009-05-08","11:17:22","Kreis Pinneberg","EB272A","FFFFFF","D0DCE7","333333","S"
"102",39709752,"KerstinGriese",18613,5693,2512,265,10416,"2009-05-13","07:41:00","Niederberg und Ratingen","E20019","FFFFFF","CCE1F9","0","S"
"103",39938182,"TSchipanski",17895,3064,134,260,21863,"2009-05-14","05:53:10","Thüringen","F49A00","FFFFFF","F49B00","444444","C"
"104",39999872,"kaiwegner",2495,3690,716,263,3422,"2009-05-14","14:07:45","Germany Berlin Spandau","0084B4","FFFFFF","FE982A","4B5F77","C"
"105",40451562,"terpeundteam",40,1735,263,191,1052,"2009-05-16","11:56:38","Mecklenburg-Vorpommern","0084B4","BDDCAD","DDFFCC","333333","G"
"106",41548943,"KerstinAndreae",1768,7472,1643,370,2403,"2009-05-21","07:45:36","","0084B4","C0DEED","DDEEF6","333333","G"
"107",41840905,"NadineSchoen",589,8479,1125,352,3035,"2009-05-22","16:06:06","","88253","D3D2CF","E3E2DE","634047","C"
"108",42099932,"AstridKlug",7,1078,148,84,282,"2009-05-23","21:21:24","Homburg/Saar und Berlin","1DA1F2","C0DEED","DDEEF6","333333","S"
"109",42401449,"NielsAnnen",9451,9325,1010,336,6819,"2009-05-25","13:06:24","Hamburg","1DA1F2","C0DEED","DDEEF6","333333","S"
"110",42698498,"RKiesewetter",12378,7760,6946,364,16544,"2009-05-26","19:29:44","Aalen-Heidenheim Berlin","990000","999999","F3F3F3","333333","C"
"111",42948881,"AgnesKrumwiede",409,4036,995,242,1925,"2009-05-27","19:06:42","Ingolstadt (Bayern)","1DA1F2","C0DEED","DDEEF6","333333","G"
"112",43537931,"PatrickSensburg",324,2175,94,170,1037,"2009-05-30","14:52:10","Hochsauerlandkreis","0084B4","C0DEED","EBEBEB","333333","C"
"113",43959185,"FrankHeinrich",2,1752,3,169,1175,"2009-06-01","20:03:31","Chemnitz","1DA1F2","C0DEED","DDEEF6","333333","C"
"114",44359035,"Ingrid_Nestle",58,1671,242,130,226,"2009-06-03","13:34:51","Berlin & Elmshorn","19CF86","0","0","0","G"
"115",46085533,"cducsubt",7246,104081,805,1189,17636,"2009-06-10","10:54:48","Berlin","E0001B","FFFFFF","EAEAEA","0","C"
"116",46480553,"UweKekeritz",339,2497,633,175,2374,"2009-06-11","20:22:05","Uffenheim / Berlin","D02B55","829D5E","99CC33","3E4415","G"
"117",46498076,"stonie_kiel",1388,1079,1055,55,2942,"2009-06-11","21:36:58","","FF0000","F2E195","FFF7CC","0C3E53","S"
"118",47049428,"BeateWaRo",2944,2742,576,172,8934,"2009-06-14","06:48:25","München/Germering/Dachau/FFB","B40B43","CC3366","E5507E","362720","G"
"119",47375691,"SWagenknecht",0,400355,67,1556,1342,"2009-06-15","16:33:09","Düsseldorf/Berlin","80808","FF1500","FF1500","0A0101","L"
"120",47698123,"Klimke_CDU",0,1470,578,176,254,"2009-06-16","18:20:01","Wahlkreis Hamburg-Wandsbek","B0B0B0","FFFFFF","F2F2F2","0","C"
"121",47990090,"drthomasfeist",1723,2692,184,207,11533,"2009-06-17","15:09:57","Leipzig","0084B4","BDDCAD","DDFFCC","333333","C"
"122",49450039,"DrAndreasNick",12876,4266,5665,198,20404,"2009-06-21","22:26:05","Montabaur/Ww.","1DA1F2","C0DEED","DDEEF6","333333","C"
"123",50932086,"rischwasu",2566,3098,378,257,4787,"2009-06-26","05:09:54","Kreis Waldshut","0084B4","BDDCAD","DDFFCC","333333","S"
"124",51483238,"thomasgebhart",386,2547,377,221,1175,"2009-06-27","16:33:33","Jockgrim","93A644","EEEEEE","FFFFFF","333333","C"
"125",51752254,"StefanKaufmann",877,5142,2886,311,12524,"2009-06-28","15:14:58","Stuttgart und Berlin","0084B4","0","E5E5E5","333333","C"
"126",52119203,"marcobuelow",9901,13204,332,437,12538,"2009-06-29","17:14:15","Ruhrgebiet / Berlin","0084B4","FFFFFF","FFCA8A","333333","S"
"127",52431948,"ebner_sha",931,4138,540,250,6114,"2009-06-30","15:56:19","Germany","D02B55","829D5E","99CC33","3E4415","G"
"128",52994606,"matthiaszimmer",78,994,158,121,959,"2009-07-02","06:45:11","Frankfurt Berlin","D97C0B","FFFFFF","DDEEF6","333333","C"
"129",53351462,"TabeaRoessner",962,7843,1041,488,12363,"2009-07-03","10:29:25","Mainz/Berlin","94D487","0","0","0","G"
"130",53426644,"GrueneBeate",2094,4615,1040,273,7728,"2009-07-03","16:20:17","Reutlingen Baden-Württemberg","0A0A09","D5F024","5793F2","0","G"
"131",53617577,"schwarz_spd",0,206,28,49,108,"2009-07-04","06:53:59","Strullendorf / Bamberg","1C4C5C","1C4C5C","EBEBEB","333333","S"
"132",54202670,"PeterWeissMdB",0,492,39,92,3,"2009-07-06","13:24:44","Emmendingen","0084B4","0","0","0","C"
"133",54535670,"Wellenreuther",381,1422,182,165,861,"2009-07-07","12:50:22","Karlsruhe","1DA1F2","C0DEED","DDEEF6","333333","C"
"134",56670083,"drmfuchs",1332,6322,243,335,7620,"2009-07-14","11:31:02","Germany","1DA1F2","C0DEED","DDEEF6","333333","C"
"135",56762889,"stephanharbarth",148,2816,100,184,1974,"2009-07-14","17:52:30","","2766","F2C318","F59B00","333333","C"
"136",56990207,"rainerarnold",7,2854,78,250,1582,"2009-07-15","11:20:53","Nürtingen","599AAC","FFFFFF","DDFFCC","333333","S"
"137",57293969,"soerenbartol",1959,4054,982,251,2934,"2009-07-16","09:59:45","Marburg/Berlin","1DA1F2","C0DEED","DDEEF6","333333","S"
"138",58429842,"olavgutting",1409,2652,468,173,8242,"2009-07-20","09:03:25","Bruchsal-Schwetzingen Berlin","16156E","FFFFFF","F7B90F","0","C"
"139",60630139,"monikalazar",1796,5319,242,313,18281,"2009-07-27","15:47:11","Sachsen","D02B55","829D5E","99CC33","3E4415","G"
"140",61577387,"Manfredbehrens",0,975,7,157,236,"2009-07-30","19:37:13","Ebendorf","1DA1F2","C0DEED","DDEEF6","333333","C"
"141",62457691,"W_Priesmeier",331,913,232,121,703,"2009-08-03","06:54:41","Deutschland","0084B4","BDDCAD","DDFFCC","333333","S"
"142",64056505,"teAM_007",1,144,10,60,31,"2009-08-08","22:34:52","Pinneberg","0084B4","BDDCAD","DDFFCC","0","C"
"143",64159881,"CPetryMdB",807,1220,796,91,7817,"2009-08-09","11:46:17","Saarland","DD2E44","C0DEED","DDEEF6","333333","S"
"144",64220313,"zierke",277,1104,220,89,162,"2009-08-09","18:09:53","Prenzlau Deutschland","990000","DFDFDF","F3F3F3","333333","S"
"145",64377390,"koschyk",14825,2915,170,183,27064,"2009-08-10","10:51:33","Goldkronach Deutschland","1DA1F2","C0DEED","DDEEF6","333333","C"
"146",64994645,"ernst_klaus",118,5259,277,295,944,"2009-08-12","09:54:42","Berlin","E81919","E81919","E81919","171515","L"
"147",66750542,"fuchtel",463,2190,130,203,1115,"2009-08-18","18:04:36","Altensteig Nordschwarzwald","128AE6","101012","0F0F12","E09E24","C"
"148",68394879,"BrigittePothmer",480,2291,327,174,3286,"2009-08-24","12:25:13","","0084B4","FFFFFF","DDEEF6","333333","G"
"149",68920005,"MartinaRenner",5623,8100,973,281,6775,"2009-08-26","07:01:12","Berlin und Erfurt","FA743E","BDDCAD","DDFFCC","333333","L"
"150",69814084,"PeterbeyerCDU",0,423,11,112,16,"2009-08-29","07:10:12","","1DA1F2","C0DEED","DDEEF6","333333","C"
"151",73088949,"OezcanMutlu",65904,10867,1470,346,23644,"2009-09-10","10:32:51","Berlin Istanbul D.C.","38543","EEEEEE","F6F6F6","333333","G"
"152",73468394,"RosemarieHein",177,1275,784,120,501,"2009-09-11","19:56:52","Magdeburg","0084B4","BDDCAD","DDFFCC","333333","L"
"153",74837812,"LINKEPELLI",4766,5625,937,88,7423,"2009-09-16","21:05:18","Leipzig","DD2E44","0","0","0","L"
"154",75005687,"StephanThomae",132,1679,623,81,1204,"2009-09-17","12:59:49","Kempten (Allgäu)","FF3300","86A4A6","A0C5C7","333333","F"
"155",77928749,"fjunge",1293,567,144,56,626,"2009-09-28","04:52:55","Wismar","ABB8C2","0","0","0","S"
"156",81394072,"Birke_Bull",2562,3061,3468,133,2348,"2009-10-10","16:50:28","Halle/ Saale","1F98C7","FFFFFF","DAECF4","663B12","L"
"157",83342791,"oezoguz",3654,17305,471,483,2171,"2009-10-18","11:00:10","Hamburg","1DA1F2","C0DEED","DDEEF6","333333","S"
"158",83474160,"JoSteiniger",2055,2876,1156,151,6799,"2009-10-18","23:38:01","","1DA1F2","C0DEED","DDEEF6","333333","C"
"159",83795057,"NilsSchmid",272,4537,290,234,703,"2009-10-20","07:56:26","Nürtingen Baden-Württemberg","E2001A","FFFFFF","FFFFFF","333333","S"
"160",87281380,"AndrejHunko",226,7676,2256,308,12040,"2009-11-03","21:01:21","Germany","C00000","0","C9D6E0","032B3B","L"
"161",88630242,"Oliver_Krischer",2067,8492,815,309,6842,"2009-11-09","09:34:24","RegionAachen/NRW/Berlin","1DA1F2","C0DEED","DDEEF6","333333","G"
"162",89209507,"hacker_fdp",395,1198,308,86,2979,"2009-11-11","15:32:20","Bayreuth","FFED00","C0DEED","FAFA0A","333333","F"
"163",93612750,"MichaelLeutert",1135,3746,1476,231,3286,"2009-11-30","11:37:37","Chemnitz und Bundestag ","FF002B","F7F8FA","FCFCFC","80808","L"
"164",94363834,"groehe",85,51450,295,762,2559,"2009-12-03","16:38:02","Berlin","0084B4","C0DEED","DDEEF6","333333","C"
"165",95905207,"dieschmidt",1610,1524,128,106,522,"2009-12-10","13:54:30","LDK","1DA1F2","C0DEED","DDEEF6","333333","S"
"166",96783215,"schneidercar",1308,10032,709,382,3718,"2009-12-14","15:41:28","Erfurt","0084B4","FFFFFF","DDEEF6","333333","S"
"167",99268600,"PeterBoehringer",8,1645,20,66,396,"2009-12-25","11:36:05","Deutschland","1DA1F2","C0DEED","DDEEF6","333333","A"
"168",104100946,"stephankuehn",5285,4377,1315,225,4281,"2010-01-12","07:41:22","Dresden","006CB4","D8D8D8","FFFFFF","333333","G"
"169",106136813,"MarcoBuschmann",873,9271,741,252,6785,"2010-01-18","16:25:00","Gelsenkirchen/Berlin","1DA1F2","C0DEED","DDEEF6","333333","F"
"170",106684561,"UteVogt",1449,4210,350,240,2607,"2010-01-20","09:58:42","Stuttgart","E81C4F","0","0","0","S"
"171",107806591,"fdp_hessel",13,722,67,78,346,"2010-01-23","20:19:09","Nürnberg Bayern","0084B4","FFEA04","FFEA04","333333","F"
"172",110368456,"KaiGehring",9499,7772,3164,390,8336,"2010-02-01","08:55:10","Berlin/ Essen","104C91","EEEEEE","FFFFFF","333333","G"
"173",110385973,"TinoSorge",1273,2053,295,133,3495,"2010-02-01","10:50:53","Magdeburg / Berlin","1DA1F2","C0DEED","DDEEF6","333333","C"
"174",111054843,"NiemaMovassat",12655,13354,1093,303,17803,"2010-02-03","17:18:12","Oberhausen Essen und Berlin","E81C4F","C0DEED","DDEEF6","333333","L"
"175",115614153,"HildeMattheis",175,10177,933,286,1068,"2010-02-19","08:25:12","Ulm","9999","FFFFFF","EFEFEF","333333","S"
"176",122104353,"c_lindner",8846,332790,1308,1718,13220,"2010-03-11","16:11:51","Berlin Deutschland","0084B4","C0DEED","DDEEF6","333333","F"
"177",133770069,"anjaweisgerber",187,1372,232,174,2245,"2010-04-16","15:43:52","Schweinfurt Kitzingen Berlin","3B94D9","EDEDED","EDEDED","333333","C"
"178",136266976,"lgbeutin",5753,1655,1393,55,4271,"2010-04-23","13:11:41","Kiel","1DA1F2","C0DEED","DDEEF6","333333","L"
"179",139407967,"SevimDagdelen",2799,30189,413,345,5019,"2010-05-02","14:25:18","Bochum-Berlin","CC3366","DBE9ED","E6F6F9","333333","L"
"180",140821364,"DoroBaer",15420,86314,2903,1242,27722,"2010-05-06","13:05:45","","5E00FF","86A4A6","A0C5C7","333333","S"
"181",143351769,"NikolasLoebel",384,884,762,37,271,"2010-05-13","07:03:17","Mannheim Baden-Württemberg","ABB8C2","0","0","0","C"
"182",143882918,"HESommer",1149,1995,1261,65,929,"2010-05-14","17:45:21","Berlin Deutschland","DC0808","DC0808","F6CDCD","0","L"
"183",146376562,"JensKoeppen",514,3320,403,213,4811,"2010-05-21","08:20:13","Berlin Barnim Uckermark","0084B4","A8C7F7","C0DFEC","333333","C"
